Age,BusinessTravel_Travel_Rarely,BusinessTravel_Travel_Frequently,BusinessTravel_Non-Travel,DailyRate,Department_Sales,Department_Research & Development,Department_Human Resources,DistanceFromHome,Education,EducationField_Marketing,EducationField_Medical,EducationField_Life Sciences,EducationField_Human Resources,EducationField_Technical Degree,EducationField_Other,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole_Manager,JobRole_Laboratory Technician,JobRole_Sales Executive,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Human Resources,JobRole_Healthcare Representative,JobRole_Sales Representative,JobSatisfaction,MaritalStatus_Single,MaritalStatus_Married,MaritalStatus_Divorced,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18_Y,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
46.0,1.0,0.0,0.0,705.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,2.0,0.0,83.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18947.0,22822.0,3.0,1.0,0.0,12.0,3.0,4.0,80.0,0.0,22.0,2.0,2.0,2.0,2.0,2.0,1.0,0
51.0,0.0,1.0,0.0,968.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1297.0,2.0,0.0,40.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2838.0,4257.0,0.0,1.0,0.0,14.0,3.0,2.0,80.0,0.0,8.0,6.0,2.0,7.0,0.0,7.0,7.0,0
43.0,1.0,0.0,0.0,1179.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1706.0,4.0,1.0,73.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,7847.0,6069.0,1.0,1.0,1.0,17.0,3.0,1.0,80.0,1.0,10.0,3.0,3.0,10.0,9.0,8.0,8.0,0
39.0,0.0,0.0,1.0,105.0,0.0,1.0,0.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2022.0,4.0,1.0,87.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,19431.0,15302.0,2.0,1.0,0.0,13.0,3.0,3.0,80.0,0.0,21.0,3.0,2.0,6.0,0.0,1.0,3.0,0
36.0,1.0,0.0,0.0,1174.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1425.0,1.0,0.0,99.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9278.0,20763.0,3.0,1.0,1.0,16.0,3.0,4.0,80.0,0.0,15.0,3.0,3.0,5.0,4.0,0.0,1.0,0
42.0,0.0,0.0,1.0,926.0,0.0,1.0,0.0,21.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,270.0,3.0,0.0,36.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5265.0,16439.0,2.0,1.0,0.0,16.0,3.0,2.0,80.0,1.0,11.0,5.0,3.0,5.0,3.0,0.0,2.0,0
31.0,1.0,0.0,0.0,182.0,0.0,1.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1430.0,1.0,0.0,93.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,16422.0,8847.0,3.0,1.0,0.0,11.0,3.0,3.0,80.0,0.0,9.0,3.0,4.0,3.0,2.0,1.0,0.0,0
42.0,1.0,0.0,0.0,1265.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,894.0,3.0,0.0,95.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5231.0,23726.0,2.0,1.0,1.0,13.0,3.0,2.0,80.0,1.0,17.0,1.0,2.0,5.0,3.0,1.0,3.0,0
34.0,1.0,0.0,0.0,511.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1779.0,4.0,0.0,32.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6029.0,25353.0,5.0,1.0,0.0,12.0,3.0,1.0,80.0,0.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,0
31.0,1.0,0.0,0.0,330.0,0.0,1.0,0.0,22.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1389.0,4.0,1.0,98.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,6179.0,21057.0,1.0,1.0,1.0,15.0,3.0,4.0,80.0,2.0,10.0,3.0,2.0,10.0,2.0,6.0,7.0,1
